Branche,HubSpot_Code,ICP_Score,Kategorie,Referenzen,Begründung
Machinery,MACHINERY,10,Kern-ICP,KION/Linde/FIBRO/BOMAG/Zeppelin,Maschinenbau - Kernzielmarkt mit starken Referenzen
Plastics,PLASTICS,10,Kern-ICP,Ensinger,Kunststoffindustrie - Kernzielmarkt mit Referenz
Chemicals,CHEMICALS,10,Kern-ICP,Merck/simatec,Chemische Industrie - Kernzielmarkt mit Referenzen
Pharmaceuticals,PHARMACEUTICALS,10,Kern-ICP,Merck/GEHE,Pharma - Kernzielmarkt mit starken Referenzen
Wholesale,WHOLESALE,10,Kern-ICP,FÖRCH/SEEFELDER/PBS Logitek/BERNER,Großhandel - Kernkompetenz mit vielen Referenzen
Building Materials,BUILDING_MATERIALS,10,Kern-ICP,fischerwerke/Procato/FÖRCH,Baustoffe - Kernzielmarkt mit Referenzen
Glass & Ceramics & Concrete,GLASS_CERAMICS_CONCRETE,10,Kern-ICP,,Baustoffe/Glas/Keramik - Kernzielmarkt
Electrical/Electronic Manufacturing,ELECTRICAL_ELECTRONIC_MANUFACTURING,10,Kern-ICP,,Elektro-/Gerätehersteller - Kernzielmarkt
Medical Devices,MEDICAL_DEVICES,10,Kern-ICP,,Medizintechnik - reguliert und servicekritisch
Technischer Handel,Technischer Handel,10,Kern-ICP,FÖRCH/SEEFELDER/BERNER,Technischer Handel - Kernkompetenz
Werkzeug-und Maschinenhandel,Werkzeug-und Maschinenhandel,10,Kern-ICP,SEEFELDER,Technischer Handel mit Referenz
Industrial Automation,INDUSTRIAL_AUTOMATION,10,Kern-ICP,KION/Linde,Industrieautomation/Intralogistik mit Referenzen
Befestigungslösungen,Befestigungslösungen,10,Kern-ICP,fischerwerke,Befestigung - Referenz vorhanden
Befestigungsanlagen-und Montagematerialien,Befestigungsanlagen-und Montagematerialien,10,Kern-ICP,fischerwerke/SEEFELDER,Montagetechnik - Referenzen vorhanden
Hersteller Metall,Hersteller Metall,9,Kern-ICP,,Metallverarbeitung - industrielle Fertigung
Hersteller,Hersteller,9,Kern-ICP,,Allgemein Hersteller - guter Fit
Computer Hardware,COMPUTER_HARDWARE,9,Kern-ICP,,Computer/Elektronik-Hersteller
Semiconductors,SEMICONDUCTORS,9,Kern-ICP,,Halbleiter - High-Tech Fertigung
Mechanical or Industrial Engineering,MECHANICAL_OR_INDUSTRIAL_ENGINEERING,9,Kern-ICP,FIBRO,Maschinenbau/Anlagenbau mit Referenz
Landtechnik,Landtechnik,9,Kern-ICP,Raiffeisen Waren/ZG Raiffeisen,Agrartechnik mit Referenzen
Argrarbedarf und Tierzubehör,Argrarbedarf und Tierzubehör,9,Kern-ICP,Raiffeisen Waren/ZG Raiffeisen,Agrarhandel mit Referenzen
Farming,FARMING,8,Starker Fit,Raiffeisen Waren/ZG Raiffeisen,Landwirtschaft mit Referenzen
Construction,CONSTRUCTION,9,Starker Fit,BOMAG/Zeppelin,Baugewerbe mit Referenzen
Verbindungstechnik,Verbindungstechnik,9,Kern-ICP,SEEFELDER,Industriezulieferer mit Referenz
Herstellung von Schleifmitteln,Herstellung von Schleifmitteln,8,Starker Fit,,Industriezulieferer
industrielle Isoliertechnik,industrielle Industrietechnik,8,Starker Fit,,Industriezulieferer
Etikettiermaschinen,Etikettiermaschinen,8,Starker Fit,,Maschinenbau-Nische
Reinigungstechnik,Reinigungstechnik,8,Starker Fit,,Industrielle Reinigung
Betriebs-und Lagereinrichtungen,Betriebs-und Lagereinrichtungen,8,Starker Fit,,B2B-Ausstattung
Badamaturen,Badamaturen,8,Starker Fit,,SHK-Zulieferer
Wasseraufbereitung,"Wasseraufbereitung, Chemikalien",8,Starker Fit,,Chemie/Anlagenbau
Automotive,AUTOMOTIVE,8,Starker Fit,,Automobil-Zulieferer mit B2B-Bedarf
Business Supplies and Equipment,BUSINESS_SUPPLIES_AND_EQUIPMENT,8,Starker Fit,PBS Logitek,Büroausstattung mit Referenz
Spielwarenindustrie,Spielwarenindustrie,8,Starker Fit,fischertechnik,Spielwaren mit Referenz
Consumer Electronics,CONSUMER_ELECTRONICS,8,Starker Fit,Calumet,Elektronik mit Referenz
Food Production,FOOD_PRODUCTION,8,Starker Fit,bosch Tiernahrung,Lebensmittelproduktion mit Referenz
Heimtierbedarf,Heimtierbedarf,7,Guter Fit,bosch Tiernahrung,Tierbedarf mit Referenz
Telecommunications,TELECOMMUNICATIONS,8,Starker Fit,Deutsche Telekom,Telko mit Referenz
Retail,RETAIL,7,Guter Fit,BAUR/Mister Spex,Einzelhandel mit Referenzen
Real Estate,REAL_ESTATE,6,Guter Fit,Town & Country Haus,Immobilien mit Referenz
Furniture,FURNITURE,7,Guter Fit,meine möbelmanufaktur,Möbel mit Referenz
Financial Services,FINANCIAL_SERVICES,6,Guter Fit,Bonus Inside,Fintech mit Referenz
Information Technology and Services,INFORMATION_TECHNOLOGY_AND_SERVICES,7,Guter Fit,nexMart,IT-Dienstleister mit Referenz
Civil Engineering,CIVIL_ENGINEERING,8,Starker Fit,BOMAG/Zeppelin,Tiefbau - Baumaschinen-Bezug
Mining & Metals,MINING_METALS,7,Guter Fit,,Bergbau/Metall - industriell
Oil & Energy,OIL_ENERGY,7,Guter Fit,,Energie - Anlagenbau
Renewables & Environment,RENEWABLES_ENVIRONMENT,7,Guter Fit,,Erneuerbare - Anlagenbau
Environmental Services,ENVIRONMENTAL_SERVICES,6,Guter Fit,,Umwelttechnik
Packaging and Containers,PACKAGING_AND_CONTAINERS,7,Guter Fit,,Verpackung - industriell
Paper & Forest Products,PAPER_FOREST_PRODUCTS,6,Guter Fit,,Papier/Holz - Industrie
Holzwerkstoffindustrie,Holzwerkstoffindustrie,7,Guter Fit,,Holzindustrie
Textiles,TEXTILES,5,Moderater Fit,,Textil - Maschinen relevant
Commercial Real Estate,COMMERCIAL_REAL_ESTATE,4,Moderater Fit,,Gewerbeimmobilien
Architecture & Planning,ARCHITECTURE_PLANNING,4,Moderater Fit,,Architektur - eher Dienstleistung
Logistics and Supply Chain,LOGISTICS_AND_SUPPLY_CHAIN,7,Guter Fit,,Logistik - B2B relevant
Warehousing,WAREHOUSING,7,Guter Fit,,Lagerhaltung - B2B relevant
Package/Freight Delivery,PACKAGE_FREIGHT_DELIVERY,5,Moderater Fit,,Paketdienste
Transportation/Trucking/Railroad,TRANSPORTATION_TRUCKING_RAILROAD,5,Moderater Fit,,Transport
Railroad Manufacture,RAILROAD_MANUFACTURE,7,Guter Fit,,Schienenfahrzeugbau
Maritime,MARITIME,6,Guter Fit,,Schifffahrt/Werften
Shipbuilding,SHIPBUILDING,7,Guter Fit,,Schiffbau
Aviation & Aerospace,AVIATION_AEROSPACE,7,Guter Fit,,Luft-/Raumfahrt
Airlines/Aviation,AIRLINES_AVIATION,4,Moderater Fit,,Airlines - eher B2C
Defense & Space,DEFENSE_SPACE,6,Guter Fit,,Verteidigung - Spezialmarkt
Food & Beverages,FOOD_BEVERAGES,6,Guter Fit,,F&B - teils B2C
Dairy,DAIRY,5,Moderater Fit,,Molkerei
Wine and Spirits,WINE_AND_SPIRITS,4,Moderater Fit,,Getränke - eher B2C
Ranching,RANCHING,4,Moderater Fit,,Viehzucht
Fishery,FISHERY,3,Schwacher Fit,,Fischerei
Veterinary,VETERINARY,3,Schwacher Fit,,Tiermedizin
Biotechnology,BIOTECHNOLOGY,7,Guter Fit,Merck,Biotech - Merck-Bezug
Nanotechnology,NANOTECHNOLOGY,6,Guter Fit,,Nanotech
Medical Practice,MEDICAL_PRACTICE,3,Schwacher Fit,,Arztpraxen - B2C
Hospital & Health Care,HOSPITAL_HEALTH_CARE,5,Moderater Fit,GEHE,Krankenhäuser - Pharma-Bezug
Mental Health Care,MENTAL_HEALTH_CARE,2,Schwacher Fit,,Psychische Gesundheit
Health,HEALTH_WELLNESS_AND_FITNESS,2,Schwacher Fit,,Wellness - B2C
Alternative Medicine,ALTERNATIVE_MEDICINE,2,Schwacher Fit,,Alternativmedizin
Cosmetics,COSMETICS,4,Moderater Fit,,Kosmetik - teils Produktion
Sporting Goods,SPORTING_GOODS,4,Moderater Fit,,Sportartikel
Apparel & Fashion,APPAREL_FASHION,3,Schwacher Fit,,Mode - B2C
Luxury Goods & Jewelry,LUXURY_GOODS_JEWELRY,3,Schwacher Fit,,Luxus - B2C
Supermarkets,SUPERMARKETS,3,Schwacher Fit,,Supermärkte - B2C
Restaurants,RESTAURANTS,2,Schwacher Fit,,Gastronomie - B2C
Hospitality,HOSPITALITY,2,Schwacher Fit,,Gastgewerbe - B2C
